Season,Lg,Player,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,W,L,Team_Win%,League_Rank,MOV,ORtg,DRtg,Pace,FTr,eFG%,TOV%,ORB%,DRB%,opponent_eFG%,opponnent_TOV%
2019-20,NBA,Giannis Antetokounmpo,25,MIL,63,30.4,29.5,13.6,5.6,1,1,0.553,0.304,0.633,11.1,0.279,56,17,0.767123288,1,10.08,112.4,102.9,105.1,0.271,0.552,12.9,20.7,81.6,0.489,12
2018-19,NBA,Giannis Antetokounmpo,24,MIL,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292,60,22,0.731707317,1,8.87,113.8,105.2,103.3,0.255,0.55,12,20.8,80.3,0.503,11.5
2017-18,NBA,James Harden,28,HOU,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289,65,17,0.792682927,1,8.48,114.7,106.1,97.6,0.298,0.551,12.7,21.3,79.9,0.521,13.4
2016-17,NBA,Russell Westbrook,28,OKC,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224,47,35,0.573170732,10,0.76,108.3,107.5,97.8,0.295,0.5,13.2,27.9,79,0.511,12.5
2015-16,NBA,Stephen Curry,27,GSW,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,73,9,0.890243902,1,10.76,114.5,103.8,99.3,0.25,0.563,13.5,23.5,76,0.479,12.6
2014-15,NBA,Stephen Curry,26,GSW,80,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,0.288,67,15,0.817073171,1,10.1,111.6,101.4,98.3,0.239,0.54,13.1,24.1,74.5,0.47,14.3
2013-14,NBA,Kevin Durant,25,OKC,81,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,59,23,0.719512195,2,6.34,110.5,103.9,95.4,0.303,0.52,14,26.5,75.6,0.488,13.9
2012-13,NBA,LeBron James,28,MIA,76,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322,66,16,0.804878049,1,7.87,112.3,103.7,90.7,0.297,0.552,13.7,22.2,73,0.487,14.8
2011-12,NBA,LeBron James,27,MIA,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298,46,20,0.696969697,4,5.98,106.6,100.2,91.2,0.307,0.505,14.5,26.6,73.9,0.479,15.8
2010-11,NBA,Derrick Rose,22,CHI,81,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858,13.1,0.208,62,20,0.756097561,1,7.32,108.3,100.3,90.4,0.305,0.501,13.5,29.4,76.2,0.463,13.6
2009-10,NBA,LeBron James,25,CLE,76,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,18.5,0.299,61,21,0.743902439,1,6.52,111.2,104.1,91.4,0.341,0.532,13.4,25.1,77.2,0.482,12.3
2008-09,NBA,LeBron James,24,CLE,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318,66,16,0.804878049,1,8.93,112.4,102.4,88.7,0.312,0.519,12.5,27.7,74.6,0.468,13.5
2007-08,NBA,Kobe Bryant,29,LAL,82,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208,57,25,0.695121951,3,7.26,113,105.5,95.6,0.333,0.525,12.9,26.3,73.4,0.485,12.9
2006-07,NBA,Dirk Nowitzki,28,DAL,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278,67,15,0.817073171,1,7.22,111.3,103.2,89.5,0.317,0.509,13.4,28.7,75,0.477,14.2
2005-06,NBA,Steve Nash,31,PHO,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212,54,28,0.658536585,4,5.55,111.5,105.8,95.8,0.206,0.537,12.2,22.1,72.1,0.49,13.2
2004-05,NBA,Steve Nash,30,PHO,75,34.3,15.5,3.3,11.5,1,0.1,0.502,0.431,0.887,10.9,0.203,62,20,0.756097561,1,7.12,114.5,107.1,95.9,0.296,0.534,12.4,27.5,68.3,0.478,12
2003-04,NBA,Kevin Garnett,27,MIN,82,39.4,24.2,13.9,5,1.5,2.2,0.499,0.256,0.791,18.3,0.272,58,24,0.707317073,2,5.49,105.9,99.7,89,0.265,0.486,12.4,26.7,72.5,0.444,12.9
2002-03,NBA,Tim Duncan,26,SAS,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248,60,22,0.731707317,1,5.41,105.6,99.7,90,0.348,0.497,15.1,28.8,71.3,0.453,14.2
2001-02,NBA,Tim Duncan,25,SAS,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257,58,24,0.707317073,2,6.21,106.5,99.7,90,0.353,0.492,13.8,27.2,71.9,0.453,13.7
2000-01,NBA,Allen Iverson,25,PHI,71,42,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19,56,26,0.682926829,2,4.28,103.6,98.9,90.6,0.351,0.468,14.7,31.2,72.5,0.46,14.5
1999-00,NBA,Shaquille O'Neal,27,LAL,79,40,29.7,13.6,3.8,0.5,3,0.574,0,0.524,18.6,0.283,67,15,0.817073171,1,8.55,107.3,98.2,93.3,0.346,0.484,12.7,30.6,73.1,0.443,13.4
1998-99,NBA,Karl Malone,35,UTA,49,37.4,23.8,9.4,4.1,1.3,0.6,0.493,0,0.788,9.6,0.252,37,13,0.74,1,6.52,105.8,98.4,87,0.417,0.485,16,30,70.4,0.441,14.4
1997-98,NBA,Michael Jordan,34,CHI,82,38.8,28.7,5.8,3.5,1.7,0.5,0.465,0.238,0.784,15.8,0.238,62,20,0.756097561,1,7.11,107.7,99.8,89,0.295,0.473,13.3,35.7,70.6,0.457,14.7
1996-97,NBA,Karl Malone,33,UTA,82,36.6,27.4,9.9,4.5,1.4,0.6,0.55,0,0.755,16.7,0.268,64,18,0.780487805,2,8.79,113.6,104,90,0.389,0.53,14.7,29.7,71.6,0.48,15.5
